Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-07 20:00:00,39061.99,39969.0,38352.88,39432.28,17620.041076,2021-01-07 23:59:59.999,690464889.1447877,420668,8800.13398,344938118.3961852,0
2021-01-08 00:00:00,39432.48,39699.87,36500.0,38347.1,23563.558207,2021-01-08 03:59:59.999,897708139.6386669,503278,10332.634124,393913750.3171629,0
2021-01-08 04:00:00,38347.11,39143.8,37563.92,38930.55,17678.05242,2021-01-08 07:59:59.999,680998454.3870326,347120,8212.925307,316343553.22008497,0
2021-01-08 08:00:00,38929.56,41500.45,38222.0,41286.67,26858.313228,2021-01-08 11:59:59.999,1077109876.3568616,535257,14097.043951,565802677.9733361,0
2021-01-08 12:00:00,41286.67,41950.0,39777.0,40829.08,29703.863861,2021-01-08 15:59:59.999,1221626743.6264076,585165,14251.608591,586487600.9643393,0
2021-01-08 16:00:00,40829.07,41600.0,39800.0,40365.09,20523.08366,2021-01-08 19:59:59.999,836690798.9889045,442682,9972.169459,406729845.83755094,0
2021-01-08 20:00:00,40365.09,40937.77,38652.0,40582.81,21463.086123,2021-01-08 23:59:59.999,854309195.7334925,512130,10433.773784,415698017.6664309,0
2021-01-09 00:00:00,40586.96,40976.13,39500.0,40211.59,13875.82436,2021-01-09 03:59:59.999,557694355.8283104,346328,7278.25353,292428483.0373531,0
2021-01-09 04:00:00,40209.91,40490.0,38720.0,39638.61,12464.021144,2021-01-09 07:59:59.999,492163371.613784,343664,5901.641772,233105431.9503149,0
2021-01-09 08:00:00,39639.21,41237.44,39290.86,40565.77,14548.756541,2021-01-09 11:59:59.999,588504553.6288258,389768,7689.450735,311099043.13639885,0
2021-01-09 12:00:00,40565.77,41380.0,40200.0,40525.15,13783.07301,2021-01-09 15:59:59.999,562964782.9622077,344593,6616.600362,270387268.3816819,0
2021-01-09 16:00:00,40525.16,40880.0,39869.0,40665.91,10121.055377,2021-01-09 19:59:59.999,409347991.23225224,272189,4671.318239,188986722.17664093,0
2021-01-09 20:00:00,40665.91,40781.69,39928.91,40088.22,10993.249243,2021-01-09 23:59:59.999,444103973.8963966,301614,4850.057271,195983756.86930928,0
2021-01-10 00:00:00,40088.22,41350.0,40087.15,40316.64,11827.445704,2021-01-10 03:59:59.999,482602046.64318496,314532,6296.877905,257007115.2671519,0
2021-01-10 04:00:00,40320.67,41073.26,40050.0,40978.57,9169.85114,2021-01-10 07:59:59.999,372472360.4142324,267545,4680.981991,190201653.11076483,0
2021-01-10 08:00:00,40978.57,41060.0,38888.0,39181.76,18823.288303,2021-01-10 11:59:59.999,755447120.6532534,447441,7675.665816,308090436.10946447,0
2021-01-10 12:00:00,39175.09,40126.0,38450.0,39671.81,17148.669684,2021-01-10 15:59:59.999,677537699.6114085,381867,7977.524048,315302186.0046255,0
2021-01-10 16:00:00,39671.82,39757.55,37111.0,37456.77,26106.908154,2021-01-10 19:59:59.999,1000599741.6353102,540518,12006.641905,460560655.9083699,0
2021-01-10 20:00:00,37472.4,39000.0,35111.11,38150.02,35133.381518,2021-01-10 23:59:59.999,1315375760.5496807,676147,16813.653008,629814850.4276509,0
2021-01-11 00:00:00,38150.02,38264.74,33600.0,35438.23,37334.824103,2021-01-11 03:59:59.999,1345571722.3024836,687482,18128.165099,654709227.9786034,0
2021-01-11 04:00:00,35438.23,35999.95,32538.0,34375.34,45091.05878,2021-01-11 07:59:59.999,1545864777.8753383,813991,21876.203335,750363517.8502418,0
2021-01-11 08:00:00,34372.25,36360.0,34020.0,34198.56,27495.319644,2021-01-11 11:59:59.999,970256539.7894318,558826,13721.54741,484273053.16085696,0
2021-01-11 12:00:00,34198.55,35110.0,31115.0,31580.0,57121.745353,2021-01-11 15:59:59.999,1886160249.0632951,908610,28004.705874,924610478.3573667,0
2021-01-11 16:00:00,31582.82,33585.17,30420.0,32254.62,51176.262042,2021-01-11 19:59:59.999,1632857166.7071233,872884,25019.570427,798981645.151587,0
2021-01-11 20:00:00,32254.63,35638.55,31408.07,35404.47,32936.928365,2021-01-11 23:59:59.999,1117019562.1608336,631164,16491.396637,558953599.5581298,0
2021-01-12 00:00:00,35410.37,35547.19,33677.03,34984.96,20156.062178,2021-01-12 03:59:59.999,697765441.1236149,432452,10073.176844,348787850.66633075,0
2021-01-12 04:00:00,34984.95,36628.0,34520.69,36413.6,21820.925278,2021-01-12 07:59:59.999,779566111.000195,433532,11053.818825,394848334.9088243,0
2021-01-12 08:00:00,36413.6,36499.98,34757.0,35410.99,20129.584186,2021-01-12 11:59:59.999,716524478.4129373,425047,9742.002246,346788668.3553374,0
2021-01-12 12:00:00,35410.99,35688.82,32531.0,33829.4,32930.544669,2021-01-12 15:59:59.999,1118976004.358879,557166,15505.936505,526738763.59910095,0
2021-01-12 16:00:00,33829.4,35550.0,33819.11,34685.11,19491.04941,2021-01-12 19:59:59.999,678143818.3801835,397140,9666.487372,336514146.08720666,0
2021-01-12 20:00:00,34686.1,35051.02,33260.74,34051.24,19419.986275,2021-01-12 23:59:59.999,660326570.2083064,428808,9056.888404,308054715.2132516,0
2021-01-13 00:00:00,34049.15,34375.51,32380.0,33818.5,27424.984325,2021-01-13 03:59:59.999,910971342.8999456,469548,13412.758948,445802957.73061526,0
2021-01-13 04:00:00,33818.5,35180.67,32800.0,34986.9,18746.308974,2021-01-13 07:59:59.999,634646677.6677805,401955,10107.566387,342431146.648784,0
2021-01-13 08:00:00,34986.9,35250.0,34200.0,34385.48,21211.79171,2021-01-13 11:59:59.999,736532256.7211046,415157,10981.650541,381505833.5200136,0
2021-01-13 12:00:00,34385.48,35100.0,34017.0,34673.9,16102.347966,2021-01-13 15:59:59.999,556172892.6701185,345194,7996.448441,276326510.70660305,0
2021-01-13 16:00:00,34673.9,36188.0,34388.53,36002.25,17747.20155,2021-01-13 19:59:59.999,627648534.0050272,380848,9883.19663,349530353.41877556,0
2021-01-13 20:00:00,36002.24,37850.0,35704.21,37371.38,23245.280413,2021-01-13 23:59:59.999,856904902.4556493,501587,11599.417359,427275889.3471206,0
2021-01-14 00:00:00,37371.38,38172.22,37000.0,37045.13,16138.473791,2021-01-14 03:59:59.999,606280563.1472309,357643,8161.668104,306687174.37508386,0
2021-01-14 04:00:00,37045.13,38596.92,36701.23,38198.34,15764.35508,2021-01-14 07:59:59.999,595513093.2190281,317387,7904.183004,298793439.48172706,0
2021-01-14 08:00:00,38199.52,38786.1,37862.04,38365.86,13654.697529,2021-01-14 11:59:59.999,523188981.5529691,366217,6818.658179,261331821.428756,0
2021-01-14 12:00:00,38365.86,40100.0,37707.0,39546.01,25980.308922,2021-01-14 15:59:59.999,1017238996.648508,524030,12413.210762,485983604.15546024,0
2021-01-14 16:00:00,39546.01,40000.0,39212.15,39876.98,14738.643826,2021-01-14 19:59:59.999,583719454.1556658,330302,7631.185703,302297553.2049164,0
2021-01-14 20:00:00,39876.97,39935.1,38259.25,39144.5,16673.910273,2021-01-14 23:59:59.999,648885549.4216868,401887,8335.56134,324349000.40405583,0
2021-01-15 00:00:00,39145.21,39747.76,38450.0,38700.0,12973.737042,2021-01-15 03:59:59.999,508873334.29280525,305284,6422.712893,251928480.86986524,0
2021-01-15 04:00:00,38700.0,38853.09,37554.94,38473.08,14317.810678,2021-01-15 07:59:59.999,547253369.4873887,319615,6639.763037,253786523.21509996,0
2021-01-15 08:00:00,38473.07,38780.0,37923.0,38108.88,11723.414644,2021-01-15 11:59:59.999,449874935.8461592,335487,5787.103888,222143495.50188205,0
2021-01-15 12:00:00,38108.87,38194.04,35258.0,35610.72,28829.424903,2021-01-15 15:59:59.999,1064655138.9267428,572044,14125.668358,521578171.44810104,0
2021-01-15 16:00:00,35610.79,36433.51,34408.0,35217.26,35005.439351,2021-01-15 19:59:59.999,1245648365.3042884,652490,17132.532877,610073510.8987317,0
2021-01-15 20:00:00,35218.94,36888.0,34801.15,36742.22,15451.094298,2021-01-15 23:59:59.999,555283754.8242521,375881,7630.253167,274213630.82618225,0
